Category: All categories

Month,LGBTQ: (United Kingdom),LGBTQ: (Sweden),LGBTQ: (United States),Watermelon: (United Kingdom)
2009-01,4,1,7,6
2009-02,5,0,8,6
2009-03,4,0,8,6
2009-04,4,2,9,6
2009-05,5,2,8,8
2009-06,5,2,10,9
2009-07,3,2,7,10
2009-08,4,2,7,9
2009-09,5,0,8,8
2009-10,5,2,10,6
2009-11,5,0,9,6
2009-12,4,1,7,6
2010-01,5,1,8,5
2010-02,6,1,8,6
2010-03,5,2,9,6
2010-04,4,2,10,7
2010-05,5,3,9,7
2010-06,5,2,10,10
2010-07,5,2,7,11
2010-08,5,2,6,10
2010-09,5,2,8,10
2010-10,6,3,16,9
2010-11,4,3,9,8
2010-12,4,2,9,9
2011-01,5,1,7,5
2011-02,6,4,9,5
2011-03,5,3,10,5
2011-04,5,4,11,6
2011-05,5,10,10,9
2011-06,6,14,14,9
2011-07,5,3,10,11
2011-08,5,7,9,11
2011-09,6,4,11,7
2011-10,6,4,13,6
2011-11,6,4,11,5
2011-12,5,3,10,5
2012-01,6,5,10,6
2012-02,8,8,11,7
2012-03,6,5,10,7
2012-04,6,6,13,6
2012-05,6,15,14,10
2012-06,6,16,14,11
2012-07,6,6,14,13
2012-08,6,8,13,13
2012-09,6,5,12,8
2012-10,7,6,14,7
2012-11,7,6,13,6
2012-12,5,4,10,6
2013-01,7,5,20,6
2013-02,9,5,12,7
2013-03,7,5,14,8
2013-04,7,8,15,8
2013-05,7,10,13,11
2013-06,9,8,18,15
2013-07,8,8,13,22
2013-08,9,11,13,18
2013-09,7,9,13,11
2013-10,9,9,15,9
2013-11,8,9,14,8
2013-12,8,7,14,7
2014-01,9,9,12,9
2014-02,14,16,18,10
2014-03,10,11,16,11
2014-04,8,10,16,13
2014-05,10,19,15,17
2014-06,10,12,19,22
2014-07,9,12,16,29
2014-08,8,18,13,18
2014-09,9,17,15,12
2014-10,10,14,18,12
2014-11,10,12,15,10
2014-12,9,10,14,9
2015-01,12,12,15,10
2015-02,18,17,17,11
2015-03,13,14,21,12
2015-04,13,14,25,13
2015-05,14,18,19,16
2015-06,18,18,37,27
2015-07,12,19,24,33
2015-08,12,19,19,27
2015-09,13,15,20,16
2015-10,12,13,21,14
2015-11,13,14,20,12
2015-12,11,12,15,12
2016-01,14,13,18,14
2016-02,18,23,22,16
2016-03,14,16,27,13
2016-04,17,19,40,16
2016-05,16,20,30,24
2016-06,42,22,76,32
2016-07,16,20,60,34
2016-08,14,14,23,30
2016-09,14,15,23,17
2016-10,14,16,27,13
2016-11,25,22,64,12
2016-12,15,17,26,12
2017-01,22,20,45,13
2017-02,27,22,36,13
2017-03,23,23,33,15
2017-04,19,18,32,17
2017-05,21,22,30,25
2017-06,38,20,46,35
2017-07,34,15,30,36
2017-08,28,21,25,31
2017-09,19,18,24,17
2017-10,20,17,29,13
2017-11,19,17,25,12
2017-12,16,15,26,11
2018-01,22,16,25,12
2018-02,28,20,28,13
2018-03,24,19,30,15
2018-04,26,20,35,18
2018-05,26,23,31,33
2018-06,33,21,52,39
2018-07,36,21,36,45
2018-08,26,35,28,33
2018-09,25,32,29,18
2018-10,26,21,35,14
2018-11,27,26,33,13
2018-12,21,18,29,12
2019-01,26,19,34,13
2019-02,41,27,49,14
2019-03,41,22,37,17
2019-04,34,20,41,21
2019-05,39,26,39,32
2019-06,60,26,70,36
2019-07,48,20,37,44
2019-08,31,23,35,33
2019-09,30,23,37,13
2019-10,29,18,47,10
2019-11,44,20,38,6
2019-12,31,18,34,2
2020-01,33,19,36,11
2020-02,44,25,38,15
2020-03,24,20,29,15
2020-04,23,17,27,30
2020-05,28,24,34,48
2020-06,55,25,87,47
2020-07,36,24,46,43
2020-08,32,26,40,39
2020-09,31,23,43,23
2020-10,30,23,55,18
2020-11,32,25,50,15
2020-12,29,26,36,14
2021-01,33,23,39,19
2021-02,55,27,44,24
2021-03,39,29,42,24
2021-04,33,28,41,27
2021-05,41,31,47,35
2021-06,80,45,98,46
2021-07,45,31,48,51
2021-08,39,37,42,35
2021-09,36,35,41,24
2021-10,37,27,47,18
2021-11,36,25,37,14
2021-12,32,22,35,15
2022-01,30,21,21,24
2022-02,33,20,19,20
2022-03,32,27,39,23
2022-04,41,34,57,26
2022-05,46,35,58,30
2022-06,76,44,100,44
2022-07,54,29,54,56
2022-08,40,48,43,42
2022-09,36,41,41,21
2022-10,38,32,42,21
2022-11,50,32,53,17
2022-12,35,25,44,16
2023-01,47,29,39,23
2023-02,51,35,44,21
2023-03,41,36,48,24
2023-04,38,33,63,29
2023-05,39,38,62,40
2023-06,64,40,81,58
2023-07,43,30,51,40
2023-08,35,39,41,35
2023-09,32,27,38,32
2023-10,31,26,38,30
2023-11,29,24,36,31
2023-12,27,23,33,27
2024-01,31,24,32,28
2024-02,38,25,37,28
2024-03,33,25,38,31
2024-04,31,27,37,31
2024-05,37,33,39,45
2024-06,46,25,52,49
2024-07,35,26,37,55
2024-08,27,26,33,48
2024-09,25,21,32,30
2024-10,26,22,35,26
2024-11,29,23,46,23
2024-12,28,18,30,21
