Category: All categories

Month,LGBTQ: (United Kingdom),LGBTQ: (Sweden),LGBTQ: (United States),LGBTQ: (Canada),Ice cream: (Sweden)
2009-01,1,<1,2,1,3
2009-02,1,0,2,1,3
2009-03,1,0,2,1,5
2009-04,1,1,2,1,5
2009-05,1,<1,2,1,4
2009-06,1,0,3,1,5
2009-07,1,<1,2,1,4
2009-08,1,0,2,1,3
2009-09,1,<1,2,1,3
2009-10,1,<1,3,1,2
2009-11,1,0,2,1,2
2009-12,1,1,2,1,2
2010-01,1,<1,2,1,3
2010-02,2,<1,2,1,3
2010-03,1,<1,2,2,3
2010-04,1,<1,3,1,4
2010-05,1,1,2,1,5
2010-06,1,1,3,1,4
2010-07,1,1,2,1,5
2010-08,1,1,2,1,3
2010-09,1,<1,2,1,3
2010-10,2,1,4,3,3
2010-11,1,1,3,2,3
2010-12,1,<1,2,1,3
2011-01,1,1,2,1,3
2011-02,2,1,2,1,3
2011-03,1,1,3,2,4
2011-04,1,1,3,1,5
2011-05,1,3,3,2,5
2011-06,2,4,4,2,5
2011-07,1,1,2,2,5
2011-08,1,2,2,1,4
2011-09,2,1,3,2,4
2011-10,2,1,3,2,9
2011-11,2,1,3,2,9
2011-12,1,1,3,2,10
2012-01,2,1,3,2,8
2012-02,2,2,3,2,9
2012-03,2,1,3,2,12
2012-04,2,1,3,2,9
2012-05,2,4,4,2,10
2012-06,2,4,4,2,10
2012-07,2,2,4,2,9
2012-08,2,2,4,2,7
2012-09,2,1,4,2,6
2012-10,2,2,4,2,5
2012-11,2,2,4,2,5
2012-12,1,1,3,2,5
2013-01,2,1,5,4,4
2013-02,2,1,3,2,5
2013-03,2,1,4,3,6
2013-04,2,2,4,2,6
2013-05,2,3,3,2,7
2013-06,3,2,5,4,7
2013-07,2,2,4,3,8
2013-08,2,3,3,3,6
2013-09,2,2,3,3,4
2013-10,2,2,4,3,4
2013-11,2,2,4,3,4
2013-12,2,2,4,3,5
2014-01,2,2,3,3,5
2014-02,4,4,5,5,5
2014-03,3,3,4,3,6
2014-04,2,3,4,3,6
2014-05,3,5,4,3,7
2014-06,3,3,5,5,7
2014-07,2,3,4,4,9
2014-08,2,5,4,3,7
2014-09,2,5,4,3,5
2014-10,3,4,5,4,5
2014-11,3,3,4,4,5
2014-12,2,3,4,3,5
2015-01,3,3,4,4,5
2015-02,5,4,5,4,6
2015-03,3,4,6,4,7
2015-04,3,4,7,4,7
2015-05,4,5,5,5,8
2015-06,5,5,10,7,9
2015-07,3,5,6,4,9
2015-08,4,5,5,4,8
2015-09,4,4,6,4,5
2015-10,4,4,6,4,5
2015-11,3,4,5,5,5
2015-12,3,3,4,4,5
2016-01,4,3,5,5,5
2016-02,5,6,6,5,7
2016-03,4,4,7,5,7
2016-04,5,5,11,7,9
2016-05,4,5,8,6,10
2016-06,11,6,20,16,11
2016-07,5,5,16,8,10
2016-08,4,4,6,5,8
2016-09,4,4,6,5,8
2016-10,4,4,7,5,6
2016-11,7,6,17,9,24
2016-12,4,4,7,5,31
2017-01,6,5,12,7,29
2017-02,7,6,10,7,35
2017-03,6,6,9,6,45
2017-04,5,5,8,6,47
2017-05,6,6,8,7,60
2017-06,10,5,13,9,63
2017-07,9,4,8,6,82
2017-08,8,6,7,6,58
2017-09,5,5,7,6,34
2017-10,5,4,8,6,31
2017-11,5,5,6,7,28
2017-12,4,4,7,6,33
2018-01,6,4,7,6,30
2018-02,8,5,8,6,35
2018-03,6,5,8,7,42
2018-04,7,5,9,7,57
2018-05,7,6,9,6,80
2018-06,9,6,14,11,74
2018-07,10,6,10,7,92
2018-08,7,9,8,7,59
2018-09,6,9,8,7,35
2018-10,7,6,9,7,28
2018-11,7,7,9,7,27
2018-12,6,5,7,7,30
2019-01,7,5,9,7,25
2019-02,12,7,13,9,28
2019-03,10,6,10,7,32
2019-04,9,5,11,8,55
2019-05,11,7,11,8,53
2019-06,16,7,19,13,64
2019-07,13,5,10,8,74
2019-08,8,6,10,8,47
2019-09,8,6,10,8,26
2019-10,8,5,13,9,25
2019-11,12,5,10,9,23
2019-12,9,5,9,6,29
2020-01,9,5,9,7,32
2020-02,12,7,10,8,33
2020-03,6,5,8,6,31
2020-04,6,5,8,5,52
2020-05,8,7,9,6,66
2020-06,15,7,23,15,84
2020-07,10,7,13,8,90
2020-08,9,7,11,7,71
2020-09,8,6,11,8,39
2020-10,8,6,14,8,28
2020-11,8,7,13,8,22
2020-12,8,7,10,7,29
2021-01,9,6,11,7,28
2021-02,15,7,12,8,32
2021-03,10,8,10,9,38
2021-04,9,8,11,8,55
2021-05,11,8,13,10,60
2021-06,22,12,26,20,80
2021-07,12,8,13,9,100
2021-08,11,10,12,9,57
2021-09,10,10,11,9,32
2021-10,10,7,13,10,27
2021-11,10,7,10,8,23
2021-12,9,6,10,8,30
2022-01,8,6,6,5,33
2022-02,9,5,6,4,40
2022-03,9,7,11,8,41
2022-04,11,9,15,12,54
2022-05,12,10,15,13,60
2022-06,21,12,28,22,81
2022-07,14,8,15,12,89
2022-08,11,13,11,11,37
2022-09,10,11,11,10,31
2022-10,10,9,11,10,32
2022-11,14,9,14,12,30
2022-12,9,7,12,10,30
2023-01,13,8,10,10,34
2023-02,14,10,12,10,33
2023-03,11,10,14,12,37
2023-04,10,9,16,12,54
2023-05,10,10,16,13,70
2023-06,17,11,23,22,81
2023-07,12,8,14,12,88
2023-08,9,10,11,12,52
2023-09,8,8,11,15,37
2023-10,9,7,10,11,27
2023-11,8,7,9,9,24
2023-12,7,6,9,8,32
2024-01,8,6,9,8,35
2024-02,10,7,10,9,34
2024-03,9,7,10,9,41
2024-04,8,7,10,8,52
2024-05,10,9,11,10,81
2024-06,13,7,14,13,77
2024-07,9,7,10,8,84
2024-08,7,7,9,7,61
2024-09,7,6,9,7,39
2024-10,7,6,9,8,27
2024-11,8,6,12,9,28
2024-12,7,5,8,7,33
2025-01,8,6,11,9,33
2025-02,11,7,12,9,35
2025-03,8,6,10,8,45
2025-04,9,6,11,9,61
2025-05,9,6,10,8,65
2025-06,10,4,13,9,80
