Category: All categories

Month,LGBTQ: (United Kingdom),LGBTQ: (Sweden),LGBTQ: (United States),Mango: (United Kingdom)
2004-01,2,0,4,10
2004-02,2,0,6,11
2004-03,3,0,6,10
2004-04,0,0,5,10
2004-05,2,0,5,10
2004-06,2,0,5,11
2004-07,2,0,5,9
2004-08,1,0,5,12
2004-09,3,0,5,14
2004-10,3,0,6,11
2004-11,3,0,6,10
2004-12,2,0,4,11
2005-01,3,0,5,10
2005-02,3,0,6,11
2005-03,3,0,5,11
2005-04,3,0,6,12
2005-05,3,0,5,11
2005-06,2,0,6,11
2005-07,2,0,5,10
2005-08,3,0,4,12
2005-09,3,0,6,10
2005-10,4,0,6,11
2005-11,4,0,5,11
2005-12,3,0,4,11
2006-01,4,0,5,11
2006-02,5,0,6,12
2006-03,4,0,6,13
2006-04,3,0,6,11
2006-05,3,0,5,12
2006-06,3,0,6,14
2006-07,3,0,5,14
2006-08,4,0,5,13
2006-09,4,0,6,14
2006-10,5,0,7,12
2006-11,4,0,6,12
2006-12,3,0,4,12
2007-01,4,0,5,13
2007-02,5,0,6,13
2007-03,3,0,6,15
2007-04,3,0,7,14
2007-05,4,0,6,14
2007-06,3,0,7,17
2007-07,3,0,5,14
2007-08,3,0,6,15
2007-09,4,0,6,17
2007-10,5,0,7,15
2007-11,4,0,7,15
2007-12,4,0,5,14
2008-01,4,0,6,16
2008-02,5,0,7,16
2008-03,4,0,7,16
2008-04,4,0,8,16
2008-05,4,0,7,18
2008-06,3,0,8,17
2008-07,4,0,6,16
2008-08,4,0,6,16
2008-09,5,0,7,15
2008-10,5,2,8,13
2008-11,4,0,8,15
2008-12,3,0,7,16
2009-01,5,0,8,17
2009-02,5,0,8,15
2009-03,4,1,8,16
2009-04,4,2,10,15
2009-05,5,2,8,18
2009-06,5,2,11,18
2009-07,4,2,8,17
2009-08,4,2,7,18
2009-09,5,0,8,16
2009-10,5,2,9,17
2009-11,5,0,9,17
2009-12,4,2,7,16
2010-01,5,1,8,17
2010-02,6,2,9,18
2010-03,5,1,8,19
2010-04,5,2,10,18
2010-05,5,2,9,20
2010-06,5,2,10,20
2010-07,5,2,8,19
2010-08,5,2,7,18
2010-09,5,2,8,18
2010-10,6,3,16,20
2010-11,5,4,9,18
2010-12,4,2,8,19
2011-01,5,2,8,20
2011-02,7,4,9,23
2011-03,5,3,11,22
2011-04,5,4,12,22
2011-05,5,11,10,23
2011-06,6,15,15,25
2011-07,5,3,9,24
2011-08,5,7,10,26
2011-09,6,4,11,30
2011-10,6,4,13,28
2011-11,6,4,11,22
2011-12,5,3,10,23
2012-01,6,5,10,23
2012-02,8,9,11,24
2012-03,6,5,11,27
2012-04,6,6,14,24
2012-05,6,15,14,27
2012-06,6,16,15,29
2012-07,6,7,13,24
2012-08,6,9,13,24
2012-09,6,5,12,22
2012-10,7,6,14,20
2012-11,7,6,13,19
2012-12,5,4,10,18
2013-01,7,5,20,21
2013-02,9,5,13,23
2013-03,7,5,15,28
2013-04,7,8,16,26
2013-05,7,11,13,23
2013-06,10,8,18,29
2013-07,8,8,13,32
2013-08,9,11,13,27
2013-09,8,9,13,21
2013-10,9,9,15,21
2013-11,8,9,14,20
2013-12,8,8,14,20
2014-01,9,9,13,27
2014-02,13,17,19,25
2014-03,10,11,16,28
2014-04,8,10,16,29
2014-05,10,19,15,35
2014-06,10,12,20,32
2014-07,9,13,16,32
2014-08,8,19,14,27
2014-09,9,17,15,24
2014-10,10,14,18,24
2014-11,10,12,16,21
2014-12,9,10,15,22
2015-01,13,13,15,31
2015-02,18,18,17,30
2015-03,13,15,22,31
2015-04,14,14,26,33
2015-05,16,18,19,34
2015-06,19,19,39,35
2015-07,14,20,25,32
2015-08,13,20,19,29
2015-09,13,15,20,28
2015-10,12,14,22,25
2015-11,13,14,21,27
2015-12,12,12,17,25
2016-01,14,13,18,33
2016-02,18,23,22,33
2016-03,14,16,27,29
2016-04,17,19,41,32
2016-05,15,19,30,36
2016-06,43,23,78,38
2016-07,17,20,61,33
2016-08,14,15,24,31
2016-09,14,16,24,28
2016-10,16,16,29,28
2016-11,25,23,65,29
2016-12,16,17,26,27
2017-01,22,21,47,37
2017-02,28,24,37,35
2017-03,24,23,35,31
2017-04,20,19,33,33
2017-05,22,23,30,39
2017-06,39,20,48,43
2017-07,34,16,31,33
2017-08,28,21,26,34
2017-09,20,19,25,34
2017-10,21,17,30,33
2017-11,20,17,25,28
2017-12,16,16,27,26
2018-01,24,16,28,33
2018-02,28,20,30,39
2018-03,23,19,30,37
2018-04,27,20,34,36
2018-05,27,24,31,42
2018-06,36,22,54,43
2018-07,37,22,37,36
2018-08,27,35,30,29
2018-09,25,34,30,27
2018-10,24,22,35,25
2018-11,27,26,34,27
2018-12,23,18,29,24
2019-01,27,20,34,31
2019-02,43,28,49,33
2019-03,39,22,37,29
2019-04,34,20,43,30
2019-05,40,27,40,38
2019-06,63,26,72,39
2019-07,49,21,38,39
2019-08,32,23,36,34
2019-09,30,24,40,31
2019-10,30,18,47,29
2019-11,46,21,37,27
2019-12,32,19,34,25
2020-01,33,20,36,31
2020-02,44,25,40,35
2020-03,25,20,30,30
2020-04,23,17,28,48
2020-05,29,26,35,59
2020-06,59,26,93,53
2020-07,37,25,49,44
2020-08,32,27,42,39
2020-09,31,24,44,34
2020-10,30,23,55,34
2020-11,33,25,52,30
2020-12,32,26,37,27
2021-01,35,23,40,37
2021-02,55,28,45,44
2021-03,40,30,40,40
2021-04,35,30,43,41
2021-05,42,31,48,42
2021-06,83,45,100,48
2021-07,46,31,52,42
2021-08,41,38,43,38
2021-09,36,37,41,35
2021-10,40,28,49,31
2021-11,40,26,39,29
2021-12,32,23,36,30
2022-01,31,22,22,39
2022-02,34,20,20,40
2022-03,32,28,40,38
2022-04,42,35,57,46
2022-05,46,37,58,49
2022-06,80,44,100,53
2022-07,53,29,54,51
2022-08,42,49,44,45
2022-09,37,42,40,37
2022-10,39,32,44,36
2022-11,53,33,56,32
2022-12,36,26,45,30
2023-01,47,30,41,39
2023-02,50,36,46,46
2023-03,42,37,50,50
2023-04,39,34,62,56
2023-05,40,39,61,63
2023-06,67,41,90,74
2023-07,46,31,52,60
2023-08,35,40,42,54
2023-09,32,28,40,48
2023-10,32,27,37,43
2023-11,30,25,37,41
2023-12,28,23,34,43
2024-01,32,24,33,42
2024-02,40,26,37,37
2024-03,33,26,38,50
2024-04,32,27,37,57
2024-05,37,35,41,64
2024-06,48,26,54,66
2024-07,36,26,38,60
2024-08,28,27,33,61
2024-09,26,22,33,48
2024-10,26,23,35,52
2024-11,30,23,46,48
2024-12,29,19,31,45
