Category: All categories

Month,LGBTQ: (United Kingdom),LGBTQ: (Sweden),LGBTQ: (United States),LGBTQ: (Canada),Mango: (Sweden)
2009-01,4,1,7,4,12
2009-02,5,0,7,4,10
2009-03,4,0,8,4,13
2009-04,4,2,9,4,14
2009-05,5,1,8,4,16
2009-06,4,0,9,4,11
2009-07,3,2,7,4,13
2009-08,4,0,7,4,14
2009-09,4,2,8,5,11
2009-10,5,2,9,5,20
2009-11,5,0,9,5,12
2009-12,3,2,7,4,12
2010-01,5,2,7,4,17
2010-02,6,1,9,5,17
2010-03,4,1,8,6,17
2010-04,4,2,10,5,18
2010-05,5,2,8,5,19
2010-06,5,2,10,5,18
2010-07,5,2,7,5,15
2010-08,4,2,7,5,14
2010-09,5,1,8,5,14
2010-10,6,3,14,9,16
2010-11,4,4,9,7,15
2010-12,4,2,7,5,28
2011-01,5,2,7,5,19
2011-02,6,4,9,5,20
2011-03,5,3,10,6,20
2011-04,5,4,11,5,19
2011-05,5,10,9,6,18
2011-06,6,14,14,8,20
2011-07,5,3,9,6,20
2011-08,5,7,9,5,19
2011-09,6,4,11,6,22
2011-10,6,4,12,8,22
2011-11,6,4,11,8,18
2011-12,5,3,10,6,20
2012-01,6,4,10,7,20
2012-02,7,8,11,7,25
2012-03,6,5,11,7,29
2012-04,6,5,12,7,27
2012-05,6,15,14,8,23
2012-06,6,15,14,8,19
2012-07,6,6,13,8,21
2012-08,6,8,13,7,23
2012-09,6,5,13,8,18
2012-10,6,6,14,9,18
2012-11,6,6,13,9,17
2012-12,5,4,9,6,19
2013-01,7,5,19,13,24
2013-02,8,5,12,8,28
2013-03,7,5,14,9,29
2013-04,6,8,15,9,24
2013-05,7,10,12,8,25
2013-06,9,8,18,13,24
2013-07,7,8,13,10,23
2013-08,9,11,12,10,22
2013-09,7,9,13,9,19
2013-10,8,9,14,10,19
2013-11,8,9,14,10,19
2013-12,7,8,14,10,22
2014-01,9,8,12,10,22
2014-02,13,16,18,17,25
2014-03,9,10,15,12,24
2014-04,7,10,16,11,26
2014-05,10,18,15,11,23
2014-06,9,11,18,17,24
2014-07,9,13,15,13,26
2014-08,8,18,13,10,21
2014-09,9,17,14,11,23
2014-10,10,13,18,13,22
2014-11,9,11,16,14,23
2014-12,9,10,14,12,23
2015-01,12,12,14,13,28
2015-02,17,16,17,13,25
2015-03,12,14,20,15,26
2015-04,12,14,24,15,29
2015-05,14,17,19,17,28
2015-06,18,18,37,24,29
2015-07,13,19,22,16,25
2015-08,13,19,18,14,25
2015-09,13,14,20,15,21
2015-10,13,13,21,15,24
2015-11,12,13,20,18,21
2015-12,11,11,15,14,29
2016-01,14,12,17,17,32
2016-02,17,22,21,20,36
2016-03,14,16,26,20,31
2016-04,16,18,39,27,32
2016-05,15,19,29,20,33
2016-06,41,22,72,57,35
2016-07,16,19,56,27,28
2016-08,14,14,23,18,28
2016-09,13,16,22,17,26
2016-10,14,15,26,19,26
2016-11,24,22,62,31,23
2016-12,16,16,24,19,34
2017-01,21,20,45,26,40
2017-02,26,22,36,25,39
2017-03,23,22,33,23,35
2017-04,18,18,31,23,36
2017-05,21,22,27,24,34
2017-06,36,19,46,31,32
2017-07,33,14,28,23,34
2017-08,27,21,25,22,36
2017-09,19,18,24,20,28
2017-10,20,16,29,21,30
2017-11,18,17,23,24,28
2017-12,15,15,25,22,35
2018-01,22,15,24,21,40
2018-02,28,19,28,22,39
2018-03,22,18,29,24,18
2018-04,25,19,33,25,9
2018-05,26,22,32,23,9
2018-06,34,21,51,40,8
2018-07,37,21,36,26,8
2018-08,25,34,28,24,7
2018-09,23,32,28,23,7
2018-10,24,21,34,26,8
2018-11,25,25,32,24,7
2018-12,22,18,27,24,5
2019-01,26,19,33,25,6
2019-02,43,26,46,33,8
2019-03,36,21,37,27,7
2019-04,32,19,41,30,8
2019-05,38,26,39,28,8
2019-06,57,25,67,48,11
2019-07,48,20,36,28,14
2019-08,29,23,35,29,12
2019-09,29,23,37,30,10
2019-10,28,18,45,32,12
2019-11,43,20,36,31,12
2019-12,31,18,34,23,14
2020-01,31,19,34,25,16
2020-02,44,24,37,28,15
2020-03,23,19,30,20,11
2020-04,21,17,27,19,14
2020-05,27,24,32,23,15
2020-06,55,25,84,53,16
2020-07,35,24,47,29,17
2020-08,31,25,38,25,16
2020-09,29,23,41,29,14
2020-10,30,22,51,30,24
2020-11,30,24,49,31,25
