Category: All categories

Month,LGBTQ: (United Kingdom),LGBTQ: (Sweden),LGBTQ: (United States),Watermelon: (United Kingdom),LGBTQ: (Canada)
2009-01,4,0,7,6,3
2009-02,5,0,7,6,4
2009-03,4,0,8,6,4
2009-04,4,2,9,6,4
2009-05,4,2,8,7,4
2009-06,4,2,10,9,4
2009-07,3,2,7,10,4
2009-08,4,2,7,9,4
2009-09,4,1,8,7,5
2009-10,5,2,9,6,5
2009-11,5,0,9,6,5
2009-12,3,1,7,6,4
2010-01,5,1,8,5,4
2010-02,6,1,9,6,5
2010-03,4,1,8,6,6
2010-04,4,2,9,7,5
2010-05,5,2,8,7,5
2010-06,5,2,10,10,5
2010-07,5,2,7,11,5
2010-08,5,2,7,10,5
2010-09,5,2,8,10,5
2010-10,6,2,14,9,9
2010-11,4,3,8,8,7
2010-12,4,2,7,9,5
2011-01,5,2,7,5,5
2011-02,6,4,9,5,5
2011-03,5,3,10,5,6
2011-04,4,4,12,5,5
2011-05,5,9,9,9,7
2011-06,6,13,14,9,8
2011-07,5,3,9,11,7
2011-08,5,6,9,10,5
2011-09,6,5,11,7,6
2011-10,6,4,13,6,8
2011-11,5,4,10,5,8
2011-12,5,3,10,5,6
2012-01,6,5,10,6,6
2012-02,7,8,11,6,7
2012-03,6,5,11,6,7
2012-04,6,5,12,6,7
2012-05,6,14,13,9,8
2012-06,6,15,14,11,8
2012-07,6,6,13,13,8
2012-08,6,8,12,12,7
2012-09,6,5,12,8,8
2012-10,6,6,13,7,9
2012-11,6,6,13,6,9
2012-12,5,4,9,6,6
2013-01,7,4,20,6,14
2013-02,8,5,12,7,8
2013-03,7,5,14,7,9
2013-04,6,8,14,8,9
2013-05,7,10,12,11,9
2013-06,9,8,18,15,13
2013-07,7,8,12,21,10
2013-08,9,10,12,17,9
2013-09,7,8,13,11,9
2013-10,8,8,14,8,10
2013-11,8,8,14,8,10
2013-12,7,8,13,7,10
2014-01,9,8,12,9,10
2014-02,13,16,18,10,17
2014-03,9,10,15,12,12
2014-04,7,9,15,14,11
2014-05,10,18,15,16,11
2014-06,9,11,18,21,16
2014-07,9,12,15,28,13
2014-08,8,18,13,19,10
2014-09,9,17,14,12,11
2014-10,10,13,17,11,13
2014-11,9,11,15,10,14
2014-12,9,10,14,9,12
2015-01,12,12,14,10,13
2015-02,17,16,17,10,13
2015-03,12,14,20,11,15
2015-04,13,14,24,13,15
2015-05,14,17,19,15,16
2015-06,18,18,37,28,24
2015-07,13,18,23,32,15
2015-08,12,18,19,25,14
2015-09,13,14,19,15,15
2015-10,13,13,21,13,15
2015-11,12,14,19,13,17
2015-12,11,12,15,11,14
2016-01,13,12,17,14,17
2016-02,17,22,22,15,19
2016-03,14,16,27,12,20
2016-04,16,18,38,15,26
2016-05,15,19,29,24,20
2016-06,41,22,71,31,56
2016-07,16,19,57,33,29
2016-08,14,14,22,28,18
2016-09,13,15,22,16,17
2016-10,14,15,26,13,19
2016-11,24,22,61,11,31
2016-12,15,16,24,11,19
2017-01,21,19,44,13,25
2017-02,25,22,34,12,26
2017-03,22,22,33,14,23
2017-04,18,18,30,15,21
2017-05,21,21,28,24,22
2017-06,34,19,43,34,31
2017-07,32,15,29,35,21
2017-08,26,21,24,28,22
2017-09,18,18,23,16,19
2017-10,20,16,28,12,21
2017-11,18,17,24,11,24
2017-12,16,15,25,11,22
2018-01,22,15,24,12,19
2018-02,28,19,28,13,23
2018-03,22,18,29,14,24
2018-04,25,19,33,17,26
2018-05,25,22,28,31,23
2018-06,34,21,51,38,39
2018-07,35,21,35,45,26
2018-08,25,34,28,31,22
2018-09,24,30,28,17,23
2018-10,24,21,33,14,25
2018-11,26,24,32,12,25
2018-12,21,17,27,12,23
2019-01,26,19,34,13,24
2019-02,38,26,46,14,32
2019-03,36,21,35,16,27
2019-04,32,19,41,20,30
2019-05,41,25,38,30,29
2019-06,59,25,67,34,48
2019-07,47,20,36,42,26
2019-08,30,22,34,31,28
2019-09,28,22,36,12,29
2019-10,29,18,47,10,32
2019-11,42,20,36,6,29
2019-12,31,17,34,2,23
2020-01,32,19,33,11,24
2020-02,42,24,37,15,27
2020-03,22,19,28,15,21
2020-04,22,16,26,28,19
2020-05,27,23,32,46,22
2020-06,56,25,84,46,52
2020-07,35,24,45,41,30
2020-08,31,25,40,36,26
2020-09,30,23,39,24,24
2020-10,30,22,52,17,30
2020-11,32,24,49,15,29
2020-12,28,25,35,13,25
2021-01,32,22,38,18,27
2021-02,52,26,43,23,29
2021-03,38,28,39,23,34
2021-04,32,27,40,26,27
2021-05,40,29,47,33,38
2021-06,77,43,100,43,70
2021-07,44,29,46,49,35
2021-08,38,35,42,34,34
2021-09,35,35,38,21,32
2021-10,38,26,46,17,34
2021-11,36,24,37,14,29
2021-12,30,21,35,15,27
2022-01,30,20,20,23,18
2022-02,31,19,19,20,16
2022-03,31,26,38,22,28
2022-04,39,33,55,25,43
2022-05,44,34,58,29,46
